text,language,reason
"§
외부
기생충
구충제",en,No direct match found in the Korean texts
"§
아미트라즈
농축액",en,No direct match found in the Korean texts
"§
페르메트린
비누",en,No direct match found in the Korean texts
"제공
제품
§
Rajfan
tablets §
Iverraj
tablets",en,No direct match found in the Korean texts
"§
내외부
기생충
구충제",en,No direct match found in the Korean texts
"§
ASHIVER
FORTE",en,No direct match found in the Korean texts
"§
ASHIVER
5",en,No direct match found in the Korean texts
"§
외부
기생충
구충제 제공
제품 §
FLUMAX",en,No direct match found in the Korean texts
"§
ASHIMETHRIN",en,No direct match found in the Korean texts
"§
ASHITRAZ",en,No direct match found in the Korean texts
"§
ASHIDELTRIN",en,No direct match found in the Korean texts
"§
DIAZECTO",en,No direct match found in the Korean texts
"2020년
5월
©
MarketsandMarkets™",en,No direct match found in the Korean texts
ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,ko,No direct match found in the English texts
"Founded 
2013",ko,No direct match found in the English texts
"Founded 
2019",ko,No direct match found in the English texts
"Founded 
2002",ko,No direct match found in the English texts
Business Overview,ko,No direct match found in the English texts
" 
Ectoparasiticides",ko,No direct match found in the English texts
" 
Liquid amitraz concentrate",ko,No direct match found in the English texts
Products Offered,ko,No direct match found in the English texts
" 
Permethrin soap",ko,No direct match found in the English texts
" 
Rajfan tablets Products Offered",ko,No direct match found in the English texts
" 
Iverraj tablets",ko,No direct match found in the English texts
" 
Endectocide",ko,No direct match found in the English texts
" 
ASHIVER",ko,No direct match found in the English texts
" 
Ectoparasiticide Products Offered",ko,No direct match found in the English texts
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,en,No direct Korean equivalent found; likely a title or header mismatch.
"출처: 기업 웹사이트, 연차보고서, MarketsandMarkets 분석",en,No direct Korean equivalent found; likely a source citation mismatch.
2020년 5월 © MarketsandMarkets™,en,No direct Korean equivalent found; likely a copyright or date notation mismatch.
ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,ko,No direct English equivalent found; likely a title or header mismatch.
"Founded 
2004",ko,No direct English equivalent found; likely an omission or contextual mismatch.
Business Overview,ko,No direct English equivalent found; might be a section title without detailed content match.
" 
Lutikil",ko,No direct English equivalent found; product name without corresponding mention in the English text.
Products Offered,ko,No direct English equivalent found; likely a section title without detailed content match.
동물보건기업 판매 관리자,ko,There is no direct English equivalent provided in the given texts.
Veterinarian,en,There is no direct Korean equivalent provided in the given texts.
"Division Sales Manager, Animal Parasiticides Manufacturing Company",en,There is no direct Korean equivalent provided in the given texts.
"Sales Manager, Animal Health Company",en,There is no direct Korean equivalent provided in the given texts.
MAY 2020 © MarketsandMarkets™,en,There is no direct Korean equivalent provided in the given texts.
"12 
APPENDIX",en,There is no direct Korean equivalent provided in the given texts.
"Q. 3. 
 What are the major drivers, restraints, challenges, and opportunities impacting the animal parasiticides market 
(global/country level)?",en,There is no direct Korean equivalent provided in the given texts.
"2 
Bayer 
%",ko,No corresponding English text
"4 
Virbac 
%",ko,No corresponding English text
"5 
Merck 
%",ko,No corresponding English text
"6 
Zoetis 
%",ko,No corresponding English text
"7 
Vetoquinol 
%",ko,No corresponding English text
"8 
Elanco 
%",ko,No corresponding English text
"12 
Bimeda 
%",ko,No corresponding English text
"14 
Boragen 
%",ko,No corresponding English text
"21
보비큐어 파마
%",en,No corresponding Korean text
"경구 고체
%
%",en,There is no direct match for 'Oral Solids' in the Korean texts provided.
"기타 내부 기생충 구충제
%
%",en,No direct match found for 'Other Endoparasiticides' in the Korean texts.
"경구 정제
%
%",en,No direct match found for 'Oral Tablets' or a similar term in the Korean texts.
"기타 외부 기생충 %
% 구충제",en,No direct match found for 'Other Ectoparasiticides' or a similar term in the Korean texts.
"Oral Liquids 
% 
%",ko,No corresponding English text for 'Oral Liquids' was provided.
"Injectables 
% 
%",ko,No corresponding English text for 'Injectables' was provided.
"Sprays 
% 
%",ko,No corresponding English text for 'Sprays' was provided.
"Dips 
% 
%",ko,No corresponding English text for 'Dips' was provided.
"Ear Tags 
% 
%",ko,No corresponding English text for 'Ear Tags' was provided.
"Collars 
% 
%",ko,No corresponding English text for 'Collars' was provided.
Q. 9. 아래 식용동물용 구충제 시장의 부문에 대한 시장 점유율과 예상 성장률은?,en,Lacks a direct match in the Korean texts provided.
Q. 10. 아래 반려동물용 구충제 시장의 부문에 대한 시장 점유율과 예상 성장률은?,en,Lacks a direct match in the Korean texts provided.
Q. 11. 아래 동물용 구충제 시장의 최종사용자 부문에 대한 시장 점유율과 예상 성장률은?,en,Lacks a direct match in the Korean texts provided.
"동물병원 및 클리닉
%
%",en,Lacks a direct match in the Korean texts provided.
2020년 5월 © MarketsandMarkets™,en,Lacks a direct match in the Korean texts provided.
"Cattle 
% 
%",ko,Lacks a direct match in the English texts provided.
"Pigs 
% 
%",ko,Lacks a direct match in the English texts provided.
"Poultry 
% 
%",ko,Lacks a direct match in the English texts provided.
"Dogs 
% 
%",ko,Lacks a direct match in the English texts provided.
"Cats 
% 
%",ko,Lacks a direct match in the English texts provided.
"Horses 
% 
%",ko,Lacks a direct match in the English texts provided.
본인의 관점: _____________________________________________________________________________,en,Generic placeholder text without a direct match in the Korean texts provided.
"지역
시장 점유율(2019)
CAGR(2020­2025)",en,"General template for data presentation, not directly matched due to lack of specific data points in the provided texts."
"아시아태평양
%
%",en,Specific data point not directly matched in the provided Korean texts.
"라틴 아메리카
%
%",en,Specific data point not directly matched in the provided Korean texts.
"중동 및 아프리카
%
%",en,Specific data point not directly matched in the provided Korean texts.
"국가
시장 점유율(2019)
CAGR(2020­2025)",en,"General template for data presentation, not directly matched due to lack of specific data points in the provided texts."
"기타 유럽 지역
%
%",en,Specific data point not directly matched in the provided Korean texts.
2020년 5월 © MarketsandMarkets™,en,Copyright and publication information without a direct match in the provided Korean texts.
Your Viewpoint: ____________________________________________________________________________,ko,Generic placeholder text without a direct match in the English texts provided.
"REGION 
MARKET SHARE (2019) 
CAGR (2020–2025)",ko,"General template for data presentation, not directly matched due to lack of specific data points in the provided texts."
"North America 
% 
%",ko,Specific data point not directly matched in the provided English texts.
"Europe 
% 
%",ko,Specific data point not directly matched in the provided English texts.
"Asia Pacific 
% 
%",ko,Specific data point not directly matched in the provided English texts.
"Latin America 
% 
%",ko,Specific data point not directly matched in the provided English texts.
"Middle East & Africa 
% 
%",ko,Specific data point not directly matched in the provided English texts.
"COUNTRY 
MARKET SHARE (2019) 
CAGR (2020–2025)",ko,"General template for data presentation, not directly matched due to lack of specific data points in the provided texts."
"Canada 
% 
%",ko,Specific data point not directly matched in the provided English texts.
Q. 17. 향후 5년(2020-2025년) 간 동물용 구충제 시장에서 수익을 창출할 분야는?,en,No corresponding Korean text provided for this specific question.
2020년 5월 © MarketsandMarkets™,en,No direct translation or equivalent provided in the Korean texts.
"China 
% 
%",ko,No corresponding English text provided for this specific country data.
"Japan  
% 
%",ko,No corresponding English text provided for this specific country data.
"India 
% 
%",ko,No corresponding English text provided for this specific country data.
"Australia 
% 
%",ko,No corresponding English text provided for this specific country data.
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,en,No direct translation found in the provided Korean texts.
지금 체험을 신청하고 Knowledge Store에 대해 자세히 알아보세요.  ­ www.mnmks.com/,en,No direct translation found in the provided Korean texts.
MARKETSANDMARKETS KNOWLEDGE STORE 화면,en,No direct translation found in the provided Korean texts.
2020년 5월 © MarketsandMarkets™,en,No direct translation found in the provided Korean texts.
ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,ko,No direct translation found in the provided English texts.
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,en,No direct match found in the Korean texts.
ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,ko,No direct match found in the English texts.
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,en,There's no direct Korean counterpart; the English title is more specific.
ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,ko,There's no direct English counterpart; the Korean title is more specific.
"Contributors 
Awanish Pandey 
Assistant Manager
Mayur Jain 
Team Lead
Aditi Choubey 
Research Associate
MAY 2020 © MarketsandMarkets™",ko,No corresponding English text provided for these contributor details.
MAY 2020 © MarketsandMarkets™,en,"There is no corresponding Korean text for this specific line, possibly because it's a date and copyright notice that doesn't require translation."
